trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	framewise_displacement	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	csf	white_matter
9.004629999999997844e-03	-1.791550000000000087e-01	-9.195500000000000548e-03	2.466140000000000346e-04	-8.503669999999999849e-04	-8.069310000000000165e-05	0.000000000000000000e+00	-1.313636119999999907e-01	5.419317800000000157e-02	-4.905769600000000133e-03	1.205852829999999945e-02	-4.991747989999999885e-02	1.968299589999999988e-01	5.760186217861793239e+02	6.116455793087038728e+02
-4.253159999999999719e-01	-3.064300000000000357e-01	-2.468110000000000026e-01	2.680919999999999831e-03	4.829390000000000245e-03	-1.522239999999999878e-02	1.961999625000000025e+00	2.050370220000000132e-02	7.209442180000000255e-02	-2.959883660000000097e-02	2.596164947999999861e-01	-3.441281750999999889e-01	5.574602210000000335e-01	5.791513382553177962e+02	6.095447832702622009e+02
1.055559999999999971e-01	-2.088949999999999696e-01	-2.820510000000000031e-02	1.504600000000000035e-03	-3.665069999999999873e-03	1.896040000000000095e-03	2.186473899999999748e+00	4.571425190000000249e-02	5.294087100000000046e-02	-2.796125140000000134e-02	9.207558299999999904e-03	8.403754900000000305e-02	-9.209265830000000486e-02	5.752355083883807083e+02	6.105067101214438026e+02
-4.222809999999999585e-03	-1.904420000000000002e-01	3.835859999999999964e-02	-6.918360000000000351e-04	-5.622259999999999801e-04	-5.137779999999999994e-04	5.802504100000001053e-01	-9.488058789999999354e-02	-1.005251094000000067e-01	9.591840090000000596e-02	-2.325709470000000140e-02	2.281991629999999965e-02	1.295118937999999997e-01	5.750031242851067645e+02	6.100918150331589231e+02
3.989399999999999891e-02	-6.167150000000000409e-02	4.662670000000000009e-02	-1.593510000000000022e-03	-1.129849999999999952e-03	-3.364480000000000422e-04	2.634868100000000157e-01	-5.645483169999999939e-02	-1.798856960000000046e-02	-9.209979029999999789e-02	-1.187150674999999933e-01	-4.197947070000000030e-02	3.176642810000000067e-02	5.764027740896310661e+02	6.103914089254770943e+02
1.909510000000000027e-02	-2.789360000000000173e-01	3.024709999999999899e-02	-4.024430000000000498e-04	-1.298859999999999989e-03	-1.375899999999999888e-04	3.323897500000000393e-01	-6.041975509999999994e-02	-6.958770720000000132e-02	7.678485690000000363e-02	-4.587635520000000328e-02	8.684247820000000340e-02	8.459151809999999883e-02	5.743429501395306715e+02	6.101799708392062485e+02
1.600379999999999858e-02	-4.458690000000000569e-02	7.328199999999999992e-02	-1.479529999999999951e-03	-1.534039999999999970e-03	6.998359999999999856e-05	3.564673300000000267e-01	5.837261600000000043e-03	4.408926509999999688e-02	-2.753071599999999935e-03	-1.477736993000000054e-01	-1.397065509999999983e-02	-1.112368040000000051e-02	5.770289493543359640e+02	6.106753317526586216e+02
2.644689999999999888e-02	-2.872190000000000021e-01	9.418610000000000870e-02	-9.156120000000000014e-04	-1.306279999999999941e-03	5.908769999999999604e-04	3.396078699999999784e-01	8.180005500000000346e-03	-7.462209759999999248e-02	6.676703259999999807e-02	-8.723154439999999954e-02	1.051854693999999951e-01	4.811206639999998647e-02	5.720446958934236363e+02	6.094572824468134513e+02
3.508790000000000520e-02	-1.702259999999999537e-02	1.687390000000000001e-01	-4.047910000000000050e-03	-2.181320000000000047e-03	1.945719999999999958e-03	6.214993500000001170e-01	5.374739399999999175e-03	-3.832005170000000321e-02	-3.223430590000000290e-02	-2.053569513999999874e-01	-4.482637099999999854e-03	-7.427038799999999275e-02	5.699764598490869503e+02	6.097430489287169166e+02
1.728839999999999544e-02	-3.370699999999999807e-01	-6.177699999999999858e-02	2.259900000000000016e-03	-9.592680000000002082e-04	-3.398169999999999620e-04	1.059132849999999904e+00	2.297400000000000061e-05	-9.755231479999999789e-02	-2.034058399999999836e-02	7.983385199999999682e-02	5.188468949999999746e-02	4.202095179999999763e-02	5.703625399241344667e+02	6.091673677417857107e+02
